MsgID.GLOBAL_POSITION,1520361159.2482402,-121.9939365,37.4137414,0.0680000
MsgID.LOCAL_VELOCITY,1520361159.2482402,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2490969,0.0776554,-0.0055672,-0.0685378
MsgID.LOCAL_VELOCITY,1520361159.2490969,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520361159.2498329,False,False
MsgID.GLOBAL_HOME,1520361159.2511349,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520361159.2513201,-121.9939351,37.4137421,0.1100000
MsgID.LOCAL_VELOCITY,1520361159.2513201,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2516069,0.1558994,0.1244039,-0.1100142
MsgID.LOCAL_VELOCITY,1520361159.2516069,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520361159.2518809,-121.9939352,37.4137420,0.1390000
MsgID.LOCAL_VELOCITY,1520361159.2518809,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2521222,0.1414639,0.1116448,-0.1395343
MsgID.LOCAL_VELOCITY,1520361159.2521222,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520361159.2523770,-121.9939377,37.4137403,0.1610000
MsgID.LOCAL_VELOCITY,1520361159.2523770,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2526131,-0.0483058,-0.1099373,-0.1612113
MsgID.LOCAL_VELOCITY,1520361159.2526131,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520361159.2528372,-121.9939371,37.4137401,0.1660000
MsgID.LOCAL_VELOCITY,1520361159.2528372,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2530329,-0.0662144,-0.0514814,-0.1668335
MsgID.LOCAL_VELOCITY,1520361159.2530329,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520361159.2534931,False,False
MsgID.GLOBAL_HOME,1520361159.2538409,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520361159.2544069,-121.9939371,37.4137404,0.1570000
MsgID.LOCAL_VELOCITY,1520361159.2544069,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2549582,-0.0296600,-0.0519367,-0.1575041
MsgID.LOCAL_VELOCITY,1520361159.2549582,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520361159.2554188,-121.9939375,37.4137394,0.1380000
MsgID.LOCAL_VELOCITY,1520361159.2554188,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2559192,-0.1508741,-0.0917041,-0.1380931
MsgID.LOCAL_VELOCITY,1520361159.2559192,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520361159.2563970,-121.9939350,37.4137403,0.1080000
MsgID.LOCAL_VELOCITY,1520361159.2563970,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.2566350,-0.0440244,0.1295675,-0.1089540
MsgID.LOCAL_VELOCITY,1520361159.2566350,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520361159.3087318,-121.9939369,37.4137404,0.0830000
MsgID.LOCAL_VELOCITY,1520361159.3087318,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520361159.3110271,-0.1803791,-0.2067690,-0.0831248
MsgID.LOCAL_VELOCITY,1520361159.3110271,-0.0008340,-0.0001904,-0.0056718
MsgID.STATE,1520361159.5032570,True,True
MsgID.GLOBAL_HOME,1520361159.5038099,-121.9939346,37.4137420,0.0000000
MsgID.GLOBAL_POSITION,1520361159.5604548,-121.9939385,37.4137398,0.0650000
MsgID.LOCAL_VELOCITY,1520361159.5604548,0.0000000,0.0000000,-0.3900000
MsgID.LOCAL_POSITION,1520361159.5612900,-0.2465870,-0.3518172,-0.0652764
MsgID.LOCAL_VELOCITY,1520361159.5612900,-0.0000147,-0.0000815,-0.3936695
MsgID.GLOBAL_POSITION,1520361159.8083441,-121.9939369,37.4137416,0.3780000
MsgID.LOCAL_VELOCITY,1520361159.8083441,0.0000000,0.0000000,-2.2100000
MsgID.LOCAL_POSITION,1520361159.8105521,-0.0413082,-0.2039233,-0.3788494
MsgID.LOCAL_VELOCITY,1520361159.8105521,-0.0026962,0.0003260,-2.2143662
MsgID.GLOBAL_POSITION,1520361160.0591960,-121.9939367,37.4137418,1.0240000
MsgID.LOCAL_VELOCITY,1520361160.0591960,-0.0200000,0.0000000,-3.1200000
MsgID.LOCAL_POSITION,1520361160.0621262,-0.0263036,-0.1932545,-1.0508152
MsgID.LOCAL_VELOCITY,1520361160.0621262,-0.0297470,0.0036597,-3.1492393
MsgID.GLOBAL_POSITION,1520361160.3098722,-121.9939367,37.4137422,1.8890000
MsgID.LOCAL_VELOCITY,1520361160.3098722,-0.0500000,-0.0100000,-3.6600000
MsgID.LOCAL_POSITION,1520361160.3123240,0.0170482,-0.1911228,-1.8892958
MsgID.LOCAL_VELOCITY,1520361160.3123240,-0.0574663,-0.0142780,-3.6620064
MsgID.STATE,1520361160.5022171,True,True
MsgID.GLOBAL_HOME,1520361160.5026031,-121.9939346,37.4137420,0.0000000
